timestamp,region,service_type,usage_units,provisioned_capacity_allocated,cost_usd,availability_pct,is_holiday
2022-01-01,westus,Compute,27945,32920,41917.5,99.82,1
2022-01-01,centralindia,Storage,15775,20427,7887.5,99.97,0
2022-01-01,westus,Compute,22794,28326,34191.0,99.63,0
2022-01-01,centralindia,Storage,4900,5901,2450.0,99.95,0
2022-01-01,westus,Compute,19956,23114,29934.0,99.96,0
2022-01-01,southeastasia,Storage,27867,33413,13933.5,99.74,0
2022-01-01,southeastasia,Compute,18668,23364,28002.0,99.9,0
2022-01-01,southeastasia,Compute,24594,28471,36891.0,99.94,0
2022-01-01,westus,Storage,26978,34331,13489.0,99.9,0
2022-01-01,centralindia,Compute,27447,33640,41170.5,99.91,0
2022-01-01,southeastasia,Compute,23952,27591,35928.0,99.62,0
2022-01-01,northeurope,Compute,27521,35449,41281.5,99.9,0
2022-01-01,centralindia,Storage,8341,10733,4170.5,99.62,0
2022-01-02,northeurope,Storage,14461,17217,7230.5,99.53,0
2022-01-02,westus,Storage,10741,12895,5370.5,99.66,0
2022-01-02,southeastasia,Compute,14487,17118,21730.5,99.65,0
2022-01-02,eastus,Storage,13082,15278,6541.0,99.67,0
2022-01-02,westus,Compute,25492,32379,38238.0,99.73,0
2022-01-02,westus,Compute,8176,10366,12264.0,99.67,0
2022-01-03,centralindia,Storage,5510,6958,2755.0,99.7,0
2022-01-03,southeastasia,Compute,9178,11367,13767.0,99.67,0
2022-01-03,southeastasia,Compute,26433,30755,39649.5,99.81,0
2022-01-03,westus,Compute,22456,26687,33684.0,99.61,0
2022-01-03,eastus,Storage,23492,29341,11746.0,99.96,1
2022-01-03,westus,Compute,12542,14858,18813.0,99.65,0
2022-01-03,southeastasia,Storage,12198,15154,6099.0,99.54,0
2022-01-03,eastus,Storage,12388,14787,6194.0,99.75,0
2022-01-04,southeastasia,Compute,7533,9314,11299.5,99.83,0
2022-01-04,westus,Storage,4042,4866,2021.0,99.89,0
2022-01-04,centralindia,Storage,12698,14790,6349.0,99.71,0
2022-01-04,westus,Storage,23774,29955,11887.0,99.92,1
2022-01-04,westus,Storage,17921,22845,8960.5,99.78,0
2022-01-05,northeurope,Compute,6330,7713,9495.0,99.75,0
2022-01-05,eastus,Storage,25625,29506,12812.5,99.92,0
2022-01-05,southeastasia,Storage,27095,33543,13547.5,99.54,0
2022-01-05,centralindia,Storage,8344,9670,4172.0,99.54,0
2022-01-05,westus,Storage,19375,23015,9687.5,99.98,0
2022-01-05,westus,Storage,8827,11261,4413.5,99.92,0
2022-01-06,westus,Compute,7367,8775,11050.5,99.63,0
2022-01-06,eastus,Compute,13937,17538,20905.5,99.6,0
2022-01-06,southeastasia,Compute,27842,33683,41763.0,99.61,0
2022-01-06,westus,Storage,19346,25064,9673.0,99.57,0
2022-01-06,northeurope,Storage,6153,7528,3076.5,99.86,0
2022-01-06,centralindia,Storage,6529,7631,3264.5,99.92,0
2022-01-07,centralindia,Storage,9358,12113,4679.0,99.65,0
2022-01-07,westus,Compute,23654,29398,35481.0,99.63,0
2022-01-07,centralindia,Storage,11448,13480,5724.0,99.93,0
2022-01-07,westus,Storage,11021,13925,5510.5,99.53,0
2022-01-07,southeastasia,Compute,20805,26598,31207.5,99.77,0
2022-01-07,centralindia,Compute,6701,7798,10051.5,99.66,1
2022-01-07,eastus,Compute,7373,8782,11059.5,99.59,0
2022-01-07,centralindia,Storage,27558,33217,13779.0,99.53,0
2022-01-07,westus,Compute,6347,7444,9520.5,99.9,0
2022-01-08,southeastasia,Storage,21696,26756,10848.0,99.88,0
2022-01-08,northeurope,Storage,18117,21682,9058.5,99.74,0
2022-01-08,eastus,Storage,18905,22321,9452.5,99.72,0
2022-01-08,eastus,Storage,11553,14173,5776.5,99.59,0
2022-01-08,centralindia,Storage,12707,15545,6353.5,99.54,0
2022-01-08,centralindia,Storage,6015,7718,3007.5,99.74,0
2022-01-08,eastus,Compute,29212,35466,43818.0,99.9,0
2022-01-09,centralindia,Storage,14062,17579,7031.0,99.54,0
2022-01-09,southeastasia,Compute,14390,16780,21585.0,99.93,0
2022-01-09,eastus,Storage,18426,22278,9213.0,99.81,0
2022-01-09,eastus,Compute,27199,32355,40798.5,99.61,0
2022-01-09,westus,Compute,25342,30919,38013.0,99.77,0
2022-01-09,southeastasia,Compute,15498,19180,23247.0,99.55,1
2022-01-10,centralindia,Compute,10008,12800,15012.0,99.89,0
2022-01-10,southeastasia,Storage,8618,10967,4309.0,99.67,0
2022-01-10,southeastasia,Compute,24635,31361,36952.5,99.72,0
2022-01-10,eastus,Compute,14161,18313,21241.5,99.67,1
2022-01-10,centralindia,Storage,23295,27399,11647.5,99.63,0
2022-01-10,eastus,Compute,7227,9189,10840.5,99.53,0
2022-01-10,eastus,Compute,28880,34361,43320.0,99.83,0
2022-01-10,centralindia,Compute,23978,29914,35967.0,99.89,0
2022-01-11,centralindia,Compute,19400,23328,29100.0,99.9,0
2022-01-11,southeastasia,Compute,7932,9647,11898.0,99.7,0
2022-01-11,westus,Storage,27371,33737,13685.5,99.75,0
2022-01-11,westus,Storage,19596,24890,9798.0,99.78,0
2022-01-11,centralindia,Compute,22565,28162,33847.5,99.53,0
2022-01-11,northeurope,Storage,20820,26290,10410.0,99.75,0
2022-01-11,centralindia,Storage,23937,29679,11968.5,99.62,0
2022-01-11,eastus,Compute,22623,27107,33934.5,99.53,0
2022-01-11,westus,Storage,22027,27482,11013.5,99.87,0
2022-01-11,southeastasia,Compute,23839,30951,35758.5,99.64,0
2022-01-11,eastus,Compute,25135,31651,37702.5,99.66,0
2022-01-12,eastus,Compute,9511,10965,14266.5,99.63,1
2022-01-12,southeastasia,Compute,10691,13278,16036.5,99.62,0
2022-01-12,westus,Storage,13885,16996,6942.5,99.58,0
2022-01-12,southeastasia,Storage,16782,19872,8391.0,99.65,0
2022-01-12,eastus,Compute,7263,8540,10894.5,99.98,0
2022-01-12,westus,Compute,27944,32225,41916.0,99.84,0
2022-01-12,northeurope,Storage,15167,18972,7583.5,99.79,0
2022-01-12,southeastasia,Storage,8433,10749,4216.5,99.59,0
2022-01-12,eastus,Compute,20501,26557,30751.5,99.85,1
2022-01-12,eastus,Compute,19245,24501,28867.5,99.54,1
2022-01-12,westus,Storage,21910,25364,10955.0,99.86,0
2022-01-12,northeurope,Compute,25654,30843,38481.0,99.89,1
2022-01-12,westus,Compute,26199,30338,39298.5,99.89,0
2022-01-12,westus,Compute,19159,22248,28738.5,99.56,1
2022-01-13,centralindia,Storage,26148,33043,13074.0,99.87,0
2022-01-13,centralindia,Storage,17838,20527,8919.0,99.99,0
2022-01-13,northeurope,Storage,9378,11372,4689.0,99.73,0
2022-01-13,eastus,Storage,14452,17016,7226.0,99.75,1
2022-01-13,northeurope,Compute,10942,13376,16413.0,99.66,0
2022-01-13,eastus,Storage,10889,13415,5444.5,99.98,0
2022-01-13,eastus,Storage,18387,23125,9193.5,99.53,0
2022-01-13,eastus,Storage,8257,10064,4128.5,99.86,0
2022-01-13,eastus,Storage,22470,27981,11235.0,99.65,0
