timestamp,region,service_type,usage_units,provisioned_capacity_allocated,cost_usd,availability_pct,is_holiday
2022-01-01,centralindia,storage,15775.0,20427.0,7887.5,99.97,0.0
2022-01-01,centralindia,storage,4900.0,5901.0,2450.0,99.95,0.0
2022-01-01,centralindia,compute,27447.0,33640.0,41170.5,99.91,0.0
2022-01-01,centralindia,storage,8341.0,10733.0,4170.5,99.62,0.0
2022-01-01,northeurope,compute,27521.0,35449.0,41281.5,99.9,0.0
2022-01-01,southeastasia,storage,27867.0,33413.0,13933.5,99.74,0.0
2022-01-01,southeastasia,compute,18668.0,23364.0,28002.0,99.9,0.0
2022-01-01,southeastasia,compute,24594.0,28471.0,36891.0,99.94,0.0
2022-01-01,southeastasia,compute,23952.0,27591.0,35928.0,99.62,0.0
2022-01-01,westus,compute,27945.0,32920.0,41917.5,99.82,0.0
2022-01-01,westus,compute,22794.0,28326.0,34191.0,99.63,0.0
2022-01-01,westus,compute,19956.0,23114.0,29934.0,99.96,0.0
2022-01-01,westus,storage,26978.0,34331.0,13489.0,99.9,0.0
2022-01-02,eastus,storage,13082.0,15278.0,6541.0,99.67,0.0
2022-01-02,northeurope,storage,14461.0,17217.0,7230.5,99.53,0.0
2022-01-02,southeastasia,compute,14487.0,17118.0,21730.5,99.65,0.0
2022-01-02,westus,storage,10741.0,12895.0,5370.5,99.66,0.0
2022-01-02,westus,compute,25492.0,32379.0,38238.0,99.73,0.0
2022-01-02,westus,compute,8176.0,10366.0,12264.0,99.67,0.0
2022-01-03,centralindia,storage,5510.0,6958.0,2755.0,99.7,0.0
2022-01-03,eastus,storage,23492.0,29341.0,11746.0,99.96,0.0
2022-01-03,eastus,storage,12388.0,14787.0,6194.0,99.75,0.0
2022-01-03,southeastasia,compute,9178.0,11367.0,13767.0,99.67,0.0
2022-01-03,southeastasia,compute,26433.0,30755.0,39649.5,99.81,0.0
2022-01-03,southeastasia,storage,12198.0,15154.0,6099.0,99.54,0.0
2022-01-03,westus,compute,22456.0,26687.0,33684.0,99.61,0.0
2022-01-03,westus,compute,12542.0,14858.0,18813.0,99.65,0.0
2022-01-04,centralindia,storage,12698.0,14790.0,6349.0,99.71,0.0
2022-01-04,southeastasia,compute,7533.0,9314.0,11299.5,99.83,0.0
2022-01-04,westus,storage,4042.0,4866.0,2021.0,99.89,0.0
2022-01-04,westus,storage,23774.0,29955.0,11887.0,99.92,0.0
2022-01-04,westus,storage,17921.0,22845.0,8960.5,99.78,0.0
2022-01-05,centralindia,storage,8344.0,9670.0,4172.0,99.54,0.0
2022-01-05,eastus,storage,25625.0,29506.0,12812.5,99.92,0.0
2022-01-05,northeurope,compute,6330.0,7713.0,9495.0,99.75,0.0
2022-01-05,southeastasia,storage,27095.0,33543.0,13547.5,99.54,0.0
2022-01-05,westus,storage,19375.0,23015.0,9687.5,99.98,0.0
2022-01-05,westus,storage,8827.0,11261.0,4413.5,99.92,0.0
2022-01-06,centralindia,storage,6529.0,7631.0,3264.5,99.92,0.0
2022-01-06,eastus,compute,13937.0,17538.0,20905.5,99.6,0.0
2022-01-06,northeurope,storage,6153.0,7528.0,3076.5,99.86,0.0
2022-01-06,southeastasia,compute,27842.0,33683.0,41763.0,99.61,0.0
2022-01-06,westus,compute,7367.0,8775.0,11050.5,99.63,0.0
2022-01-06,westus,storage,19346.0,25064.0,9673.0,99.57,0.0
2022-01-07,centralindia,storage,9358.0,12113.0,4679.0,99.65,0.0
2022-01-07,centralindia,storage,11448.0,13480.0,5724.0,99.93,0.0
2022-01-07,centralindia,compute,6701.0,7798.0,10051.5,99.66,0.0
2022-01-07,centralindia,storage,27558.0,33217.0,13779.0,99.53,0.0
2022-01-07,eastus,compute,7373.0,8782.0,11059.5,99.59,0.0
2022-01-07,southeastasia,compute,20805.0,26598.0,31207.5,99.77,0.0
2022-01-07,westus,compute,23654.0,29398.0,35481.0,99.63,0.0
2022-01-07,westus,storage,11021.0,13925.0,5510.5,99.53,0.0
2022-01-07,westus,compute,6347.0,7444.0,9520.5,99.9,0.0
2022-01-08,centralindia,storage,12707.0,15545.0,6353.5,99.54,0.0
2022-01-08,centralindia,storage,6015.0,7718.0,3007.5,99.74,0.0
2022-01-08,eastus,storage,18905.0,22321.0,9452.5,99.72,0.0
2022-01-08,eastus,storage,11553.0,14173.0,5776.5,99.59,0.0
2022-01-08,eastus,compute,29212.0,35466.0,43818.0,99.9,0.0
2022-01-08,northeurope,storage,18117.0,21682.0,9058.5,99.74,0.0
2022-01-08,southeastasia,storage,21696.0,26756.0,10848.0,99.88,0.0
2022-01-09,centralindia,storage,14062.0,17579.0,7031.0,99.54,0.0
2022-01-09,eastus,storage,18426.0,22278.0,9213.0,99.81,0.0
2022-01-09,eastus,compute,27199.0,32355.0,40798.5,99.61,0.0
2022-01-09,southeastasia,compute,14390.0,16780.0,21585.0,99.93,0.0
2022-01-09,southeastasia,compute,15498.0,19180.0,23247.0,99.55,0.0
2022-01-09,westus,compute,25342.0,30919.0,38013.0,99.77,0.0
2022-01-10,centralindia,compute,10008.0,12800.0,15012.0,99.89,0.0
2022-01-10,centralindia,storage,23295.0,27399.0,11647.5,99.63,0.0
2022-01-10,centralindia,compute,23978.0,29914.0,35967.0,99.89,0.0
2022-01-10,eastus,compute,14161.0,18313.0,21241.5,99.67,0.0
2022-01-10,eastus,compute,7227.0,9189.0,10840.5,99.53,0.0
2022-01-10,eastus,compute,28880.0,34361.0,43320.0,99.83,0.0
2022-01-10,southeastasia,storage,8618.0,10967.0,4309.0,99.67,0.0
2022-01-10,southeastasia,compute,24635.0,31361.0,36952.5,99.72,0.0
2022-01-11,centralindia,compute,19400.0,23328.0,29100.0,99.9,0.0
2022-01-11,centralindia,compute,22565.0,28162.0,33847.5,99.53,0.0
2022-01-11,centralindia,storage,23937.0,29679.0,11968.5,99.62,0.0
2022-01-11,eastus,compute,22623.0,27107.0,33934.5,99.53,0.0
2022-01-11,eastus,compute,25135.0,31651.0,37702.5,99.66,0.0
2022-01-11,northeurope,storage,20820.0,26290.0,10410.0,99.75,0.0
2022-01-11,southeastasia,compute,7932.0,9647.0,11898.0,99.7,0.0
2022-01-11,southeastasia,compute,23839.0,30951.0,35758.5,99.64,0.0
2022-01-11,westus,storage,27371.0,33737.0,13685.5,99.75,0.0
2022-01-11,westus,storage,19596.0,24890.0,9798.0,99.78,0.0
2022-01-11,westus,storage,22027.0,27482.0,11013.5,99.87,0.0
2022-01-12,eastus,compute,9511.0,10965.0,14266.5,99.63,0.0
2022-01-12,eastus,compute,7263.0,8540.0,10894.5,99.98,0.0
2022-01-12,eastus,compute,20501.0,26557.0,30751.5,99.85,0.0
2022-01-12,eastus,compute,19245.0,24501.0,28867.5,99.54,0.0
2022-01-12,northeurope,storage,15167.0,18972.0,7583.5,99.79,0.0
2022-01-12,northeurope,compute,25654.0,30843.0,38481.0,99.89,0.0
2022-01-12,southeastasia,compute,10691.0,13278.0,16036.5,99.62,0.0
2022-01-12,southeastasia,storage,16782.0,19872.0,8391.0,99.65,0.0
2022-01-12,southeastasia,storage,8433.0,10749.0,4216.5,99.59,0.0
2022-01-12,westus,storage,13885.0,16996.0,6942.5,99.58,0.0
2022-01-12,westus,compute,27944.0,32225.0,41916.0,99.84,0.0
2022-01-12,westus,storage,21910.0,25364.0,10955.0,99.86,0.0
2022-01-12,westus,compute,26199.0,30338.0,39298.5,99.89,0.0
2022-01-12,westus,compute,19159.0,22248.0,28738.5,99.56,0.0
2022-01-13,centralindia,storage,26148.0,33043.0,13074.0,99.87,0.0
2022-01-13,centralindia,storage,17838.0,20527.0,8919.0,99.99,0.0
2022-01-13,centralindia,compute,27551.0,32364.0,41326.5,99.91,0.0
2022-01-13,centralindia,compute,23740.0,29805.0,35610.0,99.93,0.0
2022-01-13,eastus,storage,14452.0,17016.0,7226.0,99.75,0.0
2022-01-13,eastus,storage,10889.0,13415.0,5444.5,99.98,0.0
2022-01-13,eastus,storage,18387.0,23125.0,9193.5,99.53,0.0
2022-01-13,eastus,storage,8257.0,10064.0,4128.5,99.86,0.0
2022-01-13,eastus,storage,22470.0,27981.0,11235.0,99.65,0.0
2022-01-13,northeurope,storage,9378.0,11372.0,4689.0,99.73,0.0
2022-01-13,northeurope,compute,10942.0,13376.0,16413.0,99.66,0.0
2022-01-13,westus,storage,24421.0,31078.0,12210.5,99.93,0.0
2022-01-14,centralindia,compute,11024.0,14020.0,16536.0,99.6,0.0
2022-01-14,eastus,storage,5471.0,6771.0,2735.5,99.99,0.0
2022-01-14,northeurope,compute,22851.0,27300.0,34276.5,99.56,0.0
2022-01-14,southeastasia,storage,12687.0,16277.0,6343.5,99.74,0.0
2022-01-14,southeastasia,storage,10754.0,12461.0,5377.0,99.96,0.0
2022-01-14,southeastasia,compute,17817.0,22914.0,26725.5,99.95,0.0
2022-01-14,southeastasia,compute,24350.0,29147.0,36525.0,99.99,0.0
2022-01-14,westus,compute,29054.0,34303.0,43581.0,99.52,0.0
2022-01-14,westus,compute,6732.0,7955.0,10098.0,99.75,0.0
